Compound,SampID,Area,blk.threshold,min.area.flag,blk.ratio.flag,slope,nM_in_vial
Ado-B12,241121_Poo_UCYNA-culture_Full2,453951,904,NA,NA,770732.7949775113,0.5889862257817192
Ado-B12,241121_Poo_UCYNA-culture_Full3,443676,904,NA,NA,770732.7949775113,0.5756547572533821
Ado-B12,241121_Smp_UCYNA_Z-2,108,904,Flag,Flag,770732.7949775113,1.4012638453142669e-4
Ado-B12,241121_Smp_UCYNA_Z-4,260,904,Flag,Flag,770732.7949775113,3.373412960941754e-4
Ado-B12,241121_Smp_UCYNA_Z-7,480,904,Flag,Flag,770732.7949775113,6.227839312507853e-4
Ado-B12,241121_Smp_UCYNA_Z-12,97,904,Flag,Flag,770732.7949775113,1.258542527735962e-4
Ado-B12,241121_Smp_UCYNA_Z-13,531,904,Flag,Flag,770732.7949775113,6.889547239461813e-4
Ado-B12,241121_Smp_UCYNA_Z-17,332,904,Flag,Flag,770732.7949775113,4.307588857817932e-4
Ado-B12,241121_Smp_UCYNA_Z-19,350284,904,NA,NA,770732.7949775113,0.45448176369635435
Ado-B12,241121_Smp_UCYNA_Z-20,365094,904,NA,NA,770732.7949775113,0.47369724290848797
Ado-B12,241121_Smp_UCYNA_Z-21,2388,904,Flag,NA,770732.7949775113,0.0030983500579726568
Ado-B12,241121_Smp_UCYNA_Z-22,584890,904,NA,NA,770732.7949775113,0.7588751948943163
Ado-B12,241121_Smp_UCYNA_Z-23,699136,904,NA,NA,770732.7949775113,0.9071055553311438
Ado-B12,241121_Smp_UCYNA_Z-24,546814,904,NA,NA,770732.7949775113,0.7094728595478478
Ado-B12,241121_Smp_UCYNA_Z-25,1224,904,Flag,NA,770732.7949775113,0.0015880990246895025
Ado-B12,241121_Smp_UCYNA_Z-26,1270,904,Flag,NA,770732.7949775113,0.0016477824847677027
Ado-B12,241121_Smp_UCYNA_Z-27,568,904,Flag,Flag,770732.7949775113,7.369609853134293e-4
Ado-B12,241121_Smp_UCYNA_Z-28,12,904,Flag,Flag,770732.7949775113,1.5569598281269632e-5
Ado-B12,241121_Smp_UCYNA_Z-29,280,904,Flag,Flag,770732.7949775113,3.632906265629581e-4
Ado-B12,241121_Smp_UCYNA_Z-30,595237,904,NA,NA,770732.7949775113,0.772300081012341
Ado-B12,241121_Smp_UCYNA_Z-31,617405,904,NA,NA,770732.7949775113,0.8010623189039399
Ado-B12,241121_Smp_UCYNA_Z-32,661143,904,NA,NA,770732.7949775113,0.8578109097061207
Ado-B12,241121_Smp_UCYNA_Z-33,3815,904,Flag,NA,770732.7949775113,0.004949834786920304
Ado-B12,241121_Smp_UCYNA_Z-34,1278095,904,NA,NA,770732.7949775113,1.6582854762749426
Ado-B12,241121_Smp_UCYNA_Z-35,898765,904,NA,NA,770732.7949775113,1.1661174999387751
Ado-B12,241121_Smp_UCYNA_Z-36,1079326,904,NA,NA,770732.7949775113,1.400389352877469
Ado-B12,241121_Smp_UCYNA_Z-37,1918,904,Flag,NA,770732.7949775113,0.002488540791956263
Ado-B12,241121_Smp_UCYNA_Z-38,1111,904,Flag,NA,770732.7949775113,0.00144148530754088
Ado-B12,241121_Smp_UCYNA_Z-39,884,904,Flag,Flag,770732.7949775113,0.0011469604067201962
Ado-B12,241121_Smp_UCYNA_Z-40,574,904,Flag,Flag,770732.7949775113,7.447457844540641e-4
Ado-B12,241121_Smp_UCYNA_Z-41,434,904,Flag,Flag,770732.7949775113,5.631004711725851e-4
Ado-B12,241121_Smp_UCYNA_Z-42,258,904,Flag,Flag,770732.7949775113,3.347463630472971e-4
OH-B12,241121_Std_0nM_UCYNA_B12_1,16433,16386,Flag,NA,1282177.6128185908,0.01281647708999972
OH-B12,241121_Std_0nM_UCYNA_B12_2,7444,16386,Flag,Flag,1282177.6128185908,0.0058057479132208305
OH-B12,241121_Std_1nM_UCYNA_B12_1,1104077,16386,NA,NA,1282177.6128185908,0.8610952094015469
OH-B12,241121_Std_1nM_UCYNA_B12_2,1097360,16386,NA,NA,1282177.6128185908,0.8558564656168741
OH-B12,241121_Std_5nM_UCYNA_B12_1,6163138,16386,NA,NA,1282177.6128185908,4.806773990111768
OH-B12,241121_Std_5nM_UCYNA_B12_2,5852442,16386,NA,NA,1282177.6128185908,4.564454987741261
OH-B12,241121_Std_10nM_UCYNA_B12_1,9593904,16386,NA,NA,1282177.6128185908,7.482507808656768
OH-B12,241121_Std_10nM_UCYNA_B12_2,11911691,16386,NA,NA,1282177.6128185908,9.290203541937313
OH-B12,241121_Std_20nM_UCYNA_B12_1,26106800,16386,NA,NA,1282177.6128185908,20.361297638483823
OH-B12,241121_Std_20nM_UCYNA_B12_2,25784560,16386,NA,NA,1282177.6128185908,20.109975203293565
OH-B12,241121_Std_50nM_RP-Mix234_InH2O,4703,16386,Flag,Flag,1282177.6128185908,0.003667978564733687
OH-B12,241121_Poo_UCYNA-culture_Full1,1170112,16386,NA,NA,1282177.6128185908,0.9125974344753698
OH-B12,241121_Poo_UCYNA-culture_Full2,996164,16386,NA,NA,1282177.6128185908,0.7769313627385432
